Temperature, Pressure, Relative_Humidity, Air_Quality_PM1, Air_Quality_PM2.5, Air_Quality_PM10, Timestamp
81.845, 1002.836, 33.283, 1, 2, 3, 1
81.817, 1002.86, 33.222, 1, 2, 3, 2
81.808, 1002.843, 33.296, 1, 2, 3, 3
81.79, 1002.856, 33.068, 1, 2, 3, 4
81.753, 1002.858, 33.149, 1, 2, 3, 5
81.717, 1002.84, 33.303, 1, 2, 3, 6
81.689, 1002.813, 33.155, 1, 2, 3, 7
81.653, 1002.832, 33.162, 1, 2, 3, 9
81.643, 1002.823, 33.335, 1, 2, 3, 10
81.625, 1002.822, 33.193, 1, 2, 3, 11
81.625, 1002.845, 33.298, 1, 2, 3, 12
81.625, 1002.817, 33.261, 1, 2, 3, 13
81.57, 1002.849, 33.526, 1, 2, 3, 14
81.561, 1002.829, 33.385, 1, 2, 3, 15
81.524, 1002.858, 33.213, 1, 2, 3, 16
81.506, 1002.843, 33.552, 1, 2, 3, 18
81.469, 1002.844, 33.49, 1, 2, 3, 19
81.451, 1002.838, 33.491, 1, 2, 3, 20
81.433, 1002.846, 33.454, 1, 2, 3, 21
81.423, 1002.846, 33.627, 1, 2, 3, 22
81.405, 1002.819, 33.565, 1, 2, 3, 23
81.396, 1002.816, 33.424, 1, 2, 3, 24
81.386, 1002.822, 33.479, 1, 2, 3, 25
81.368, 1002.855, 33.486, 1, 2, 3, 27
81.359, 1002.871, 33.64, 1, 2, 3, 28
81.332, 1002.797, 33.56, 1, 2, 3, 29
81.313, 1002.836, 33.542, 1, 2, 3, 30
81.295, 1002.84, 33.653, 1, 2, 3, 31
81.286, 1002.82, 33.794, 1, 2, 3, 32
81.267, 1002.844, 33.635, 1, 2, 3, 33
81.267, 1002.846, 33.567, 1, 2, 3, 34
81.24, 1002.867, 33.684, 1, 2, 3, 36
81.231, 1002.85, 33.709, 1, 2, 3, 37
81.222, 1002.837, 33.795, 1, 2, 3, 38
81.194, 1002.826, 33.814, 1, 2, 3, 39
81.212, 1002.886, 33.66, 1, 2, 3, 40
81.194, 1002.847, 33.759, 1, 2, 3, 41
81.194, 1002.835, 33.765, 1, 2, 3, 42
81.185, 1002.83, 33.845, 1, 2, 3, 43
81.167, 1002.825, 33.845, 1, 2, 3, 45
81.167, 1002.82, 33.704, 1, 2, 3, 46
81.167, 1002.834, 33.821, 1, 2, 3, 47
81.158, 1002.866, 33.753, 1, 2, 3, 48
81.167, 1002.832, 33.802, 1, 2, 3, 49
81.13, 1002.842, 33.698, 1, 2, 3, 50
81.121, 1002.864, 33.864, 1, 2, 3, 51
81.139, 1002.818, 33.735, 1, 2, 3, 52
81.13, 1002.828, 33.624, 1, 2, 3, 54
81.121, 1002.831, 33.956, 1, 2, 3, 55
81.112, 1002.849, 33.766, 1, 2, 3, 56
81.112, 1002.822, 33.637, 1, 2, 3, 57
81.102, 1002.824, 33.969, 1, 2, 3, 58
81.093, 1002.825, 33.999, 1, 2, 3, 59
81.093, 1002.852, 33.871, 1, 2, 3, 60
81.093, 1002.83, 33.864, 1, 2, 3, 61
81.075, 1002.823, 33.766, 1, 2, 3, 63
81.102, 1002.849, 33.852, 1, 2, 3, 64
81.112, 1002.826, 33.846, 1, 2, 3, 65
81.112, 1002.832, 33.827, 1, 2, 3, 66
81.112, 1002.843, 33.784, 1, 2, 3, 67
81.084, 1002.818, 33.895, 1, 2, 3, 68
81.075, 1002.858, 33.951, 1, 2, 3, 69
81.075, 1002.857, 33.76, 1, 2, 3, 70
81.057, 1002.875, 33.816, 1, 2, 3, 72
81.038, 1002.858, 33.803, 1, 2, 3, 73
81.02, 1002.876, 33.896, 1, 2, 3, 74
81.02, 1002.834, 33.915, 1, 2, 3, 75
80.992, 1002.855, 33.872, 1, 2, 3, 76
80.983, 1002.865, 33.841, 1, 2, 3, 77
80.965, 1002.865, 33.976, 1, 2, 3, 78
80.974, 1002.817, 33.774, 1, 2, 3, 80
80.947, 1002.868, 33.823, 1, 2, 3, 81
80.938, 1002.863, 33.977, 1, 2, 3, 82
80.91, 1002.856, 33.99, 1, 2, 3, 83
80.91, 1002.863, 33.781, 1, 2, 3, 84
80.873, 1002.85, 33.941, 1, 2, 3, 85
80.864, 1002.832, 33.873, 1, 2, 3, 86
80.837, 1002.849, 33.8, 1, 2, 3, 87
80.827, 1002.863, 33.904, 1, 2, 3, 89
80.809, 1002.844, 33.849, 1, 2, 3, 90
80.781, 1002.832, 33.954, 1, 2, 3, 91
80.763, 1002.818, 33.985, 1, 2, 3, 92
80.763, 1002.831, 34.059, 1, 2, 3, 93
80.717, 1002.822, 34.108, 1, 2, 3, 94
80.727, 1002.838, 34.176, 1, 2, 3, 95
80.708, 1002.821, 34.226, 1, 2, 3, 96
80.69, 1002.847, 34.14, 1, 2, 3, 98
80.69, 1002.798, 34.189, 1, 2, 3, 99
80.69, 1002.849, 34.423, 1, 2, 3, 100
80.69, 1002.833, 34.226, 1, 2, 3, 101
80.681, 1002.81, 34.121, 1, 2, 3, 102
80.671, 1002.855, 34.195, 1, 2, 3, 103
80.671, 1002.824, 34.318, 1, 2, 3, 104
80.662, 1002.822, 34.208, 1, 2, 3, 105
80.671, 1002.832, 34.232, 1, 2, 3, 107
80.662, 1002.847, 34.054, 1, 2, 3, 108
80.653, 1002.812, 34.282, 1, 2, 3, 109
80.644, 1002.851, 34.238, 1, 2, 3, 110
80.644, 1002.858, 34.184, 1, 2, 3, 111
80.626, 1002.817, 34.159, 1, 2, 3, 112
80.644, 1002.815, 34.22, 1, 2, 3, 113
80.617, 1002.836, 34.239, 1, 2, 3, 114
80.626, 1002.8, 34.27, 1, 2, 3, 116
80.626, 1002.838, 34.245, 1, 2, 3, 117
80.617, 1002.807, 34.202, 1, 2, 3, 118
80.598, 1002.827, 34.245, 1, 2, 3, 119
80.598, 1002.827, 34.227, 1, 2, 3, 120
80.607, 1002.832, 34.288, 1, 2, 3, 121
80.58, 1002.841, 34.27, 1, 2, 3, 122
80.58, 1002.828, 34.283, 1, 2, 3, 123
80.562, 1002.789, 34.326, 1, 2, 3, 125
80.571, 1002.826, 34.319, 1, 2, 3, 126
80.58, 1002.816, 34.203, 1, 2, 3, 127
80.562, 1002.816, 34.209, 1, 2, 3, 128
80.562, 1002.821, 34.387, 1, 2, 3, 129
80.589, 1002.814, 34.356, 1, 2, 3, 130
80.58, 1002.827, 34.209, 1, 2, 3, 131
80.58, 1002.849, 34.085, 1, 2, 3, 132
80.617, 1002.829, 34.386, 1, 2, 3, 134
80.644, 1002.817, 34.257, 1, 2, 3, 135
80.653, 1002.784, 34.275, 1, 2, 3, 136
80.644, 1002.82, 34.196, 1, 2, 3, 137
80.69, 1002.841, 34.214, 1, 2, 3, 138
80.699, 1002.833, 34.146, 1, 2, 3, 139
80.717, 1002.824, 34.195, 1, 2, 3, 140
80.736, 1002.846, 34.182, 1, 2, 3, 141
80.754, 1002.825, 34.317, 1, 2, 3, 143
80.763, 1002.844, 34.237, 1, 2, 3, 144
80.781, 1002.836, 34.046, 1, 2, 3, 145
80.781, 1002.844, 34.009, 1, 2, 3, 146
80.8, 1002.848, 34.268, 1, 2, 3, 147
80.818, 1002.854, 34.052, 1, 2, 3, 148
80.818, 1002.842, 34.187, 1, 2, 3, 149
80.837, 1002.865, 33.996, 1, 2, 3, 150
80.855, 1002.852, 34.138, 1, 2, 3, 152
80.864, 1002.847, 34.113, 1, 2, 3, 153
80.882, 1002.88, 33.922, 1, 2, 3, 154
80.864, 1002.87, 33.953, 1, 2, 3, 155
80.891, 1002.857, 33.953, 1, 2, 3, 156
80.891, 1002.825, 34.051, 1, 2, 3, 157
80.938, 1002.878, 33.915, 1, 2, 3, 158
80.947, 1002.895, 33.983, 1, 2, 3, 159
80.956, 1002.875, 33.995, 1, 2, 3, 161
80.956, 1002.871, 33.909, 1, 2, 3, 162
80.965, 1002.845, 33.964, 1, 2, 3, 163
80.974, 1002.856, 33.872, 1, 2, 3, 164
80.965, 1002.849, 33.97, 1, 2, 3, 165
80.965, 1002.855, 33.983, 1, 2, 3, 166
81.001, 1002.868, 33.989, 1, 2, 3, 167
80.965, 1002.874, 34.106, 1, 2, 3, 169
80.983, 1002.843, 34.001, 1, 2, 3, 170
81.001, 1002.86, 34.05, 1, 2, 3, 171
80.983, 1002.882, 34.038, 1, 2, 3, 172
80.992, 1002.879, 33.964, 1, 2, 3, 173
81.001, 1002.855, 33.927, 1, 2, 3, 174
81.011, 1002.848, 34.001, 1, 2, 3, 175
80.992, 1002.874, 33.749, 1, 2, 3, 176
80.992, 1002.881, 33.767, 1, 2, 3, 178
80.983, 1002.865, 34.044, 1, 2, 3, 179
80.992, 1002.851, 33.884, 1, 2, 3, 180
80.992, 1002.872, 33.896, 1, 2, 3, 181
80.983, 1002.856, 33.964, 1, 2, 3, 182
80.992, 1002.852, 33.909, 1, 2, 3, 183
80.974, 1002.866, 33.767, 1, 2, 3, 184
80.974, 1002.845, 33.872, 1, 2, 3, 185
80.965, 1002.876, 33.86, 1, 2, 3, 187
80.947, 1002.848, 33.817, 1, 2, 3, 188
80.938, 1002.859, 34.057, 1, 2, 3, 189
80.965, 1002.86, 34.032, 1, 2, 3, 190
80.938, 1002.849, 33.934, 1, 2, 3, 191
80.956, 1002.858, 33.909, 1, 2, 3, 192
80.965, 1002.851, 33.86, 1, 2, 3, 193
80.974, 1002.858, 33.995, 1, 2, 3, 194
80.974, 1002.842, 33.915, 1, 2, 3, 196
80.965, 1002.833, 34.014, 1, 2, 3, 197
80.956, 1002.854, 33.989, 1, 2, 3, 198
81.001, 1002.841, 34.013, 1, 2, 3, 199
81.001, 1002.831, 33.946, 1, 2, 3, 200
80.992, 1002.844, 34.044, 1, 2, 3, 201
81.001, 1002.849, 33.983, 1, 2, 3, 202
80.983, 1002.817, 33.97, 1, 2, 3, 203
81.001, 1002.83, 33.952, 1, 2, 3, 205
80.992, 1002.843, 33.712, 1, 2, 3, 206
80.992, 1002.835, 33.909, 1, 2, 3, 207
80.992, 1002.785, 33.872, 1, 2, 3, 208
81.011, 1002.86, 34.038, 1, 2, 3, 209
81.02, 1002.843, 33.859, 1, 2, 3, 210
81.038, 1002.849, 33.699, 1, 2, 3, 211
81.048, 1002.836, 33.772, 1, 2, 3, 212
81.075, 1002.818, 33.834, 1, 2, 3, 214
81.112, 1002.847, 33.723, 1, 2, 3, 215
81.148, 1002.828, 33.661, 1, 2, 3, 216
81.167, 1002.794, 33.648, 1, 2, 3, 217
81.185, 1002.846, 33.759, 1, 2, 3, 218
81.222, 1002.815, 33.746, 1, 2, 3, 219
81.222, 1002.816, 33.783, 1, 2, 3, 220
81.258, 1002.817, 33.869, 1, 2, 3, 221
81.286, 1002.84, 33.635, 1, 2, 3, 223
81.295, 1002.839, 33.708, 1, 2, 3, 224
81.313, 1002.816, 33.64, 1, 2, 3, 225
81.332, 1002.82, 33.794, 1, 2, 3, 226
81.359, 1002.821, 33.634, 1, 2, 3, 227
81.35, 1002.825, 33.615, 1, 2, 3, 228
81.35, 1002.833, 33.394, 1, 2, 3, 229
81.35, 1002.863, 33.523, 1, 2, 3, 230
81.359, 1002.84, 33.572, 1, 2, 3, 232
81.332, 1002.83, 33.486, 1, 2, 3, 233
81.35, 1002.856, 33.615, 1, 2, 3, 234
81.332, 1002.819, 33.584, 1, 2, 3, 235
81.341, 1002.833, 33.634, 1, 2, 3, 236
81.332, 1002.835, 33.64, 1, 2, 3, 237
81.313, 1002.859, 33.652, 1, 2, 3, 238
81.313, 1002.821, 33.572, 1, 2, 3, 239
81.277, 1002.829, 33.524, 1, 2, 3, 241
81.277, 1002.807, 33.462, 1, 2, 3, 242
81.24, 1002.822, 33.543, 1, 2, 3, 243
81.231, 1002.783, 33.598, 1, 2, 3, 244
81.24, 1002.828, 33.549, 1, 2, 3, 245
81.203, 1002.856, 33.549, 1, 2, 3, 246
81.185, 1002.829, 33.66, 1, 2, 3, 247
81.185, 1002.877, 33.562, 1, 2, 3, 248
81.158, 1002.858, 33.74, 1, 2, 3, 250
81.158, 1002.818, 33.79, 1, 2, 3, 251
81.148, 1002.826, 33.845, 1, 2, 3, 252
81.139, 1002.847, 33.661, 1, 2, 3, 253
81.102, 1002.834, 33.452, 1, 2, 3, 254
81.112, 1002.839, 33.784, 1, 2, 3, 255
81.084, 1002.833, 33.797, 1, 2, 3, 256
81.093, 1002.821, 33.704, 1, 2, 3, 258
81.121, 1002.824, 33.544, 1, 2, 3, 259
81.093, 1002.804, 33.803, 1, 2, 3, 260
81.093, 1002.825, 33.507, 1, 2, 3, 261
81.093, 1002.853, 33.692, 1, 2, 3, 262
81.075, 1002.853, 33.594, 1, 2, 3, 263
81.102, 1002.816, 33.729, 1, 2, 3, 264
81.121, 1002.818, 33.711, 1, 2, 3, 265
81.112, 1002.815, 33.704, 1, 2, 3, 267
81.112, 1002.772, 33.612, 1, 2, 3, 268
81.084, 1002.806, 33.858, 1, 2, 3, 269
81.075, 1002.837, 33.859, 1, 2, 3, 270
81.075, 1002.824, 33.606, 1, 2, 3, 271
81.084, 1002.848, 33.766, 1, 2, 3, 272
81.066, 1002.862, 33.772, 1, 2, 3, 273
81.057, 1002.854, 33.619, 1, 2, 3, 274
81.048, 1002.859, 33.613, 1, 2, 3, 276
81.038, 1002.854, 33.736, 1, 2, 3, 277
81.057, 1002.835, 33.791, 1, 2, 3, 278
81.048, 1002.826, 33.816, 1, 2, 3, 279
81.066, 1002.883, 33.662, 1, 2, 3, 280
81.066, 1002.832, 33.821, 1, 2, 3, 281
81.066, 1002.872, 33.785, 1, 2, 3, 282
81.084, 1002.855, 33.662, 1, 2, 3, 283
81.075, 1002.825, 33.674, 1, 2, 3, 285
81.093, 1002.849, 33.575, 1, 2, 3, 286
81.13, 1002.834, 33.642, 1, 2, 3, 287
81.121, 1002.825, 33.649, 1, 2, 3, 288
81.139, 1002.816, 33.612, 1, 2, 3, 289
81.139, 1002.863, 33.648, 1, 2, 3, 290
81.139, 1002.823, 33.575, 1, 2, 3, 291
81.139, 1002.84, 33.612, 1, 2, 3, 292
81.139, 1002.842, 33.71, 1, 2, 3, 294
81.139, 1002.841, 33.667, 1, 2, 3, 295
81.176, 1002.844, 33.433, 1, 2, 3, 296
81.185, 1002.854, 33.611, 1, 2, 3, 297
81.176, 1002.842, 33.556, 1, 2, 3, 298
81.185, 1002.855, 33.537, 1, 2, 3, 299
81.203, 1002.819, 33.5, 1, 2, 3, 300
